iter	Logloss
0	0.6881047991
1	0.6831352176
2	0.6781693834
3	0.6732014933
4	0.6682567272
5	0.6631512899
6	0.659062837
7	0.6544989797
8	0.650396288
9	0.646303751
10	0.6422353524
11	0.6377333286
12	0.6340665711
13	0.6299400946
14	0.6261925986
15	0.6225052954
16	0.6192740385
17	0.6157299875
18	0.6121395588
19	0.6089101191
20	0.6054688774
21	0.6029592838
22	0.5998022735
23	0.5965575962
24	0.593531477
25	0.5906276018
26	0.5874484067
27	0.5845525555
28	0.5823128164
29	0.5795117808
30	0.576735446
31	0.5740221326
32	0.5709071485
33	0.5686444062
34	0.5660259387
35	0.5633992565
36	0.5611547623
37	0.5586937703
38	0.5563401319
39	0.5540933872
40	0.551881002
41	0.5495083162
42	0.5473187692
43	0.5450739881
44	0.5430851006
45	0.5407589118
46	0.5387882656
47	0.5367442879
48	0.5348333739
49	0.5329930885
50	0.5310024773
51	0.5287001673
52	0.5268645892
53	0.5249908469
54	0.5231898445
55	0.5214666044
56	0.5199008605
57	0.5184943595
58	0.517073076
59	0.5156709135
60	0.5145361263
61	0.5137700506
62	0.5121714036
63	0.5108697794
64	0.5095009211
65	0.5081911744
66	0.5069919878
67	0.5056220991
68	0.5042401741
69	0.5031189182
70	0.5020426635
71	0.5009660964
72	0.4997502114
73	0.4988588537
74	0.4976225464
75	0.4960480137
76	0.494816035
77	0.4935940186
78	0.4925182333
79	0.4913720677
80	0.4903046722
81	0.4891138894
82	0.4879585724
83	0.4870439247
84	0.4858104123
85	0.4848436477
86	0.483998702
87	0.4835363024
88	0.4824370638
89	0.4818228259
90	0.481311609
91	0.4804832789
92	0.479864489
93	0.4792180296
94	0.4785457406
95	0.4779049901
96	0.4774067552
97	0.4763417383
98	0.4749964792
99	0.474073616
