iter	Passed	Remaining
0	150	14936
1	153	7501
2	155	5018
3	157	3772
4	159	3028
5	161	2528
6	163	2166
7	164	1894
8	166	1684
9	168	1514
10	170	1377
11	172	1263
12	174	1164
13	175	1080
14	177	1006
15	179	942
16	181	883
17	182	832
18	184	785
19	186	744
20	187	706
21	189	672
22	191	641
23	193	612
24	195	585
25	196	560
26	198	537
27	200	516
28	202	496
29	204	477
30	207	461
31	209	446
32	211	430
33	213	414
34	215	400
35	217	387
36	219	374
37	222	362
38	224	350
39	225	338
40	227	327
41	229	317
42	231	306
43	233	296
44	235	287
45	237	278
46	239	269
47	241	261
48	242	252
49	244	244
50	246	236
51	247	228
52	249	221
53	251	214
54	253	207
55	255	200
56	257	194
57	259	187
58	260	181
59	262	175
60	264	168
61	266	163
62	268	157
63	270	152
64	272	146
65	274	141
66	276	136
67	278	131
68	280	126
69	283	121
70	285	116
71	287	111
72	288	106
73	290	102
74	292	97
75	295	93
76	297	88
77	299	84
78	300	79
79	302	75
80	304	71
81	306	67
82	308	63
83	310	59
84	312	55
85	314	51
86	316	47
87	318	43
88	319	39
89	321	35
90	324	32
91	326	28
92	328	24
93	329	21
94	331	17
95	333	13
96	335	10
97	337	6
98	339	3
99	341	0
